STATION,NAME,DATE,PRCP,TMAX
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/3/11,0,86
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/4/11,0,84
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/5/11,0,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/6/11,0.18,85
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/7/11,0.75,86
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/8/11,0.63,80
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/9/11,0,80
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/10/11,0,77
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/11/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/12/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/13/11,0.75,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/14/11,0,75
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/15/11,0,82
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/16/11,0,85
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/17/11,0,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/18/11,0,84
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/19/11,0,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/20/11,1.11,80
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/21/11,0,80
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/22/11,0,82
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/23/11,0.65,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/24/11,0,92
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/25/11,0,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/26/11,0,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/27/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/28/11,0,77
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/29/11,0,79
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/30/11,0.04,76
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/31/11,0,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/1/11,0,93
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/2/11,0,92
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/3/11,0.02,89
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/4/11,0,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/5/11,0,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/6/11,0,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/7/11,0,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/8/11,0,75
