TEST DATE,Positive_Pools,Total_Mosquitoes,MIR
2022-07-21 00:07:00,2,544,3.676470588235294
2022-07-28 00:07:00,1,402,2.487562189054726
2022-08-04 00:08:00,14,1384,10.115606936416185
2022-08-11 00:08:00,17,755,22.516556291390728
2022-08-18 00:08:00,9,820,10.97560975609756
2022-08-25 00:08:00,8,741,10.79622132253711
2022-09-01 00:09:00,14,951,14.721345951629864
2022-09-08 00:09:00,9,986,9.127789046653144
2022-09-15 00:09:00,1,361,2.770083102493075
2022-09-22 00:09:00,0,271,0.0
2022-09-29 00:09:00,0,39,0.0
2022-10-06 00:10:00,0,127,0.0
2023-06-08 00:06:00,1,300,3.3333333333333335
2023-06-15 00:06:00,2,1040,1.9230769230769231
2023-06-22 00:06:00,0,533,0.0
2023-06-29 00:06:00,0,958,0.0
2023-07-06 00:07:00,5,1159,4.3140638481449525
2023-07-13 00:07:00,8,1124,7.117437722419928
2023-07-20 00:07:00,14,2262,6.18921308576481
2023-07-27 00:07:00,27,2882,9.368494101318529
2023-08-03 00:08:00,24,1451,16.540317022742936
2023-08-10 00:08:00,58,3377,17.175007403020434
2023-08-17 00:08:00,21,848,24.764150943396228
2023-08-24 00:08:00,31,1759,17.62364980102331
2023-08-31 00:08:00,22,1246,17.656500802568218
2023-09-07 00:09:00,21,1118,18.783542039355993
2023-09-14 00:09:00,9,903,9.966777408637872
2023-09-21 00:09:00,4,1007,3.972194637537239
2023-09-28 00:09:00,2,520,3.8461538461538463
